stationID,stationName,lat,lon,count
3084,Devoe St & Leonard St,40.713487,-73.947925,242
3085,Roebling St & N 4 St,40.71469,-73.95739,239
3086,Graham Ave & Conselyea St,40.715143,-73.944507,238
3087,Metropolitan Ave & Meeker Ave,40.714133,-73.952344,237
3088,Union Ave & Jackson St,40.716075,-73.952029,235
3090,N 8 St & Driggs Ave,40.717746,-73.956001,230
3091,Frost St & Meeker St,40.71764,-73.94882,229
3092,Berry St & N 8 St,40.719009,-73.958525,229
3093,N 6 St & Bedford Ave,40.717452,-73.958509,229
3094,Graham Ave & Withers St,40.716981,-73.944859,227
3095,Graham Ave & Herbert St,40.719293,-73.945004,224
3097,N Henry St & Richardson St,40.719216,-73.942447,217
3098,Leonard St & Bayard St,40.71928,-73.94861,215
3099,Leonard St & Manhattan Ave,40.721522,-73.948983,211
3101,N 12 St & Bedford Ave,40.720798,-73.954847,208
3102,Driggs Ave & Lorimer St,40.721791,-73.950415,204
3103,N 11 St & Wythe Ave,40.721533,-73.957824,202
3104,Kent Ave & N 7 St,40.720577,-73.961502,201
3105,N 15 St & Wythe Ave,40.724055,-73.955736,197
3106,Driggs Ave & N Henry St,40.72325,-73.94308,197
3107,Bedford Ave & Nassau Ave,40.723117,-73.952123,197
3108,Nassau Ave & Russell St,40.72557,-73.94434,193
3109,Banker St & Meserole Ave,40.72606,-73.95621,186
3110,Meserole Ave & Manhattan Ave,40.727086,-73.952991,185
3111,Norman Ave & Leonard St,40.725848,-73.950649,181
3112,Milton St & Franklin St,40.72906,-73.95779,173
3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,172
3114,India St & East River,40.731651,-73.961619,172
3115,India St & Manhattan Ave,40.732322,-73.955086,170
3116,Huron St & Franklin St,40.73266,-73.95826,169
3117,Franklin St & Dupont St,40.73564,-73.95866,161
3118,McGuinness Blvd & Eagle St,40.73555,-73.95284,161
3119,Vernon Blvd & 50 Ave,40.742327,-73.954117,160
3120,Center Blvd & Borden Ave,40.74161,-73.96044,160
